City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,298.3,87,4,5.79,PN,1682426810
1,west island,-12.1568,96.8225,300.14,78,75,7.72,CC,1682426555
2,udachny,66.4167,112.4,266.41,93,100,5.1,RU,1682426810
3,narail,23.1667,89.5,305.81,29,28,1.03,BD,1682426810
4,ushuaia,-54.8,-68.3,277.96,81,75,11.32,AR,1682426811
5,alesund,62.4723,6.1549,278.76,69,40,6.17,NO,1682426531
6,higuera de zaragoza,25.95,-109.2833,291.27,86,20,3.13,MX,1682426811
7,eleskirt,39.8033,42.6736,287.07,44,33,4.24,TR,1682426811
8,talnakh,69.4865,88.3972,275.49,88,50,2.64,RU,1682426811
9,bhalki,18.0333,77.2167,308.37,22,9,0.34,IN,1682426812
10,waitangi,-43.9535,-176.5597,287.49,83,89,4.92,NZ,1682426812
11,kattivakkam,13.2167,80.3167,304.2,86,6,5.29,IN,1682426813
12,hobyo,5.3505,48.5268,303.5,65,99,5.03,SO,1682426813
13,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.03,GF,1682426813
14,kataba,13.9833,44.3833,291.64,60,98,2.27,YE,1682426814
15,grytviken,-54.2811,-36.5092,275.77,98,100,2.82,GS,1682426814
16,port-aux-francais,-49.35,70.2167,277.41,75,10,7.89,TF,1682426814
17,longyearbyen,78.2186,15.6401,268.06,68,0,2.06,SJ,1682426814
18,wailua homesteads,22.0669,-159.378,294.39,86,75,3.6,US,1682426814
19,umba,66.6871,34.3429,274.14,72,28,1.82,RU,1682426814
20,punta arenas,-53.15,-70.9167,278.21,81,20,10.29,CL,1682426814
21,uturoa,-16.7333,-151.4333,299.97,82,100,5.19,PF,1682426815
22,barentu,15.1139,37.5928,309.74,14,28,6.37,ER,1682426815
23,juneau,58.3019,-134.4197,275.15,97,100,2.57,US,1682426815
24,hermanus,-34.4187,19.2345,294.71,68,70,2.74,ZA,1682426815
25,luderitz,-26.6481,15.1594,295.93,61,0,8.15,NA,1682426816
26,stanley,54.868,-1.6985,283.31,50,40,2.57,GB,1682426816
27,kodiak,57.79,-152.4072,273.88,86,100,0.0,US,1682426816
28,port lincoln,-34.7333,135.8667,293.3,61,78,5.08,AU,1682426816
29,hawaiian paradise park,19.5933,-154.9731,294.28,94,100,2.57,US,1682426816
30,daru,-9.0763,143.2092,300.13,87,100,5.68,PG,1682426816
31,yellowknife,62.456,-114.3525,273.46,93,75,5.66,CA,1682426602
32,pingzhuang,42.0372,119.2889,278.26,37,0,4.05,CN,1682426817
33,sao joao da barra,-21.6403,-41.0511,297.2,72,89,1.1,BR,1682426817
34,arraial do cabo,-22.9661,-42.0278,298.07,78,20,2.06,BR,1682426817
35,nagqu,31.5,92.0,270.01,79,100,2.09,CN,1682426817
36,puerto natales,-51.7236,-72.4875,278.4,75,20,4.63,CL,1682426817
37,blackmans bay,-43.0167,147.3167,286.22,82,0,2.68,AU,1682426817
38,korla,41.7597,86.1469,293.69,20,12,3.27,CN,1682426741
39,flying fish cove,-10.4217,105.6791,300.32,78,13,4.58,CX,1682426744
40,edinburgh of the seven seas,-37.0676,-12.3116,288.89,69,59,11.25,SH,1682426818
41,kara-balta,42.8142,73.8481,289.24,53,81,3.63,KG,1682426804
42,bredasdorp,-34.5322,20.0403,294.79,50,41,0.45,ZA,1682426818
43,tura,25.5198,90.2201,297.94,43,7,0.77,IN,1682426818
44,tofol,5.3248,163.0078,300.9,79,88,6.81,FM,1682426819
45,alice springs,-23.7,133.8833,289.9,63,0,3.96,AU,1682426819
46,namibe,-15.1961,12.1522,300.11,61,15,3.57,AO,1682426820
